smiles,standardized_value
c1ccc(C[NH+]2CCC(N=C3NCCCCCOc4ccccc4Oc4ncccc43)CC2)cc1,-6.149
CCN1CCCCN(C(=O)c2cccc(Cl)c2)C(Cc2ccccc2)COc2ccccc2C1=O,-5.539
Cc1cc(C)n(CCNC(=O)Cc2ccc3c(c2)CN(Cc2ccccc2)CC(=O)NCCCCCO3)n1,-5.25
O=C(Cc1ccc2c(c1)CN(Cc1ccccc1)CC(=O)NCCCCCO2)NCCCn1cncn1,-6.081
COc1ccc(OCCNC(=O)C2CC(=O)NC(C(C)O)C(=O)N3CCCC3COc3ccccc3C(=O)N2)cc1,-6.699
CN1CC2(CCNCC2)CC(O)C(O)Cc2ccccc2OCC1=O,-5.959
CCOc1ccc(CCCNC(=O)C2CC(=O)NC(C(C)C)C(=O)N(C)CCOc3ccccc3C(=O)N2)cc1OC,-6.8585
CCCCN1CCOc2ccccc2CCCCC2(CN(C(=O)c3ccc(C)nc3)CCO2)C1=O,-5.554
CC(C)C[C@H]1C(=O)N(C)CCCCCCN[C@@H](Cc2ccccc2)C(=O)N(C)[C@H](C)C(=O)N1C,-4.5
CC(C)CC1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2ccccc2Cl)CC(=O)N1,-5.7844999999999995
COCC12CCCCN(C(=O)CNS(=O)(=O)c3ccc(C)cc3)CCOc3ccccc3C(=O)N(CC1)CC2,-5.708
CCc1nnsc1C(=O)N1CCC(N2CCCC(C)(C)COc3ccccc3Oc3ncccc3C2)CC1,-5.971
CCC(=O)N1CCCN(C)CCCN(C(=O)c2ccc(Cl)cc2)Cc2cc(F)c(F)cc21,-5.428
Cn1nccc1C(=O)N1CCOC2(CCCCc3ccccc3OCCNC2=O)C1,-5.415
CCN1CCOc2ccccc2CCCCC2(CN(C(=O)c3cnn(C)c3)CCO2)C1=O,-5.285
CC1NC(=O)CC(C(=O)N2CCNC(=O)C2)NC(=O)c2ccccc2OCC2CCCN2C1=O,-7.046
COc1cccc(C(=O)N2CCC3(CCCCc4ccccc4OCCN(C)C3)CC2)n1,-5.623
CC(C)C[C@H]1C(=O)NCCCCCCN[C@@H](Cc2ccccc2)C(=O)N[C@H](C)C(=O)N1C,-4.6
CCN1CCN(C(=O)C2CC(=O)NC(Cc3ccccc3)C(=O)N(C)CCOc3ccccc3C(=O)N2)CC1,-7.222
CC(C)CC1NC(=O)CC(C(=O)NCCc2cnccn2)NC(=O)c2ccccc2OCC(Cc2ccccc2)NC1=O,-7.398
CC(C)C[C@@H]1NCCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](Cc2ccc(OC(C)(C)C)cc2)NC1=O,-6.17
CCc1noc(CCC(=O)N2CCC3(CCCCCCOc4ccccc4C(=O)NC3)CC2)n1,-5.253
CCN1CCOc2ccccc2CCCCC2(CN(C(=O)c3cccc(C)c3)CCO2)C1=O,-5.721
CN(CCc1ccccc1)C(=O)c1ccc2c(c1)Cc1cccc(c1)CN(C1CCOCC1)CCOCCO2,-5.517
CCOc1ccc(CCCNC(=O)C2CC(=O)NC(C)C(=O)N(C)C(Cc3ccccc3)COc3ccccc3C(=O)N2)cc1OC,-6.638
Cc1ocnc1C(=O)N1CCOC2(CCCCc3ccccc3OCCN(C)C2=O)C1,-4.975
CCN(CC)C(CNC(=O)c1ccc2c(c1)Cc1cccc(c1)CN(C)CCCCCO2)c1ccc(C)cc1,-5.695
O=C(NCCCn1cncn1)c1ccc2c(c1)Cc1cccc(c1)CN(CC1CC1)CCCCCO2,-5.827
CC(C)CC1COc2ccc(Cl)cc2C(=O)NCCCCN(C(=O)c2n[nH]c3c2CCCC3)CC(=O)N1,-7.046
CC(C)C[C@@H]1NCCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)N(C)C(=O)[C@@H](Cc2ccccc2)NC1=O,-5.63
CCN(CC)C(=O)CCc1ccc2c(c1)CN(Cc1ccccc1)CC(=O)NCCCCCO2,-5.177
O=C(Cc1ccccc1F)N1CCOC2(CCCCc3ccccc3OCCNC2=O)C1,-5.224
CN1CCC(C(=O)N2CCOC3(CCCCc4ccccc4OCCN(C)C3=O)C2)CC1,-6.174
COCC12CCCCN(C(=O)CC(C)(C)C)CCOc3ccccc3C(=O)N(CC1)CC2,-5.095
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)N3CCN(Cc4ccc(F)cc4)CC3)ccc21,-5.271
CCOc1cccc(C(=O)N2CCCCC3(CCN(C)CC3)C(=O)OCC(O)C(O)CC2)c1,-6.301
CCc1ccc(C(=O)N2CCCCNC(=O)c3cc(Cl)ccc3OCCCC2)cc1,-5.378
O=C(NCCCO)c1ccc2c(c1)Cc1cccc(c1)CN(CC1CC1)CCCCCO2,-5.366
Cc1ncsc1C(=O)N1CCCCC2(COc3cccnc3)CCN(CC2)C(=O)c2ccccc2OCC1,-6.229
Cc1cc(S(N)(=O)=O)ccc1OCC(=O)N1CCOC2(CCCCc3ccccc3OCCN(C)C2=O)C1,-6.959
COc1ccc(OCCNC(=O)C2CC(=O)NC(CC(C)C)C(=O)NCCCOc3ccccc3C(=O)N2)cc1,-7.699
CCn1cc(NC(=O)CN2CCOC3(CCCCc4ccccc4OCCNC3=O)C2)c(C)n1,-5.328
CN1CCOc2ccccc2CCCCC2(CN(C(=O)c3cnc4ccccc4c3)CCO2)C1=O,-5.435
Cc1nc(C)c(C(=O)N2CCCCOc3ccc(Cl)cc3C(=O)N(C)C(Cc3ccccc3)C(=O)N(C)CCCC2)s1,-5.419
Cc1nc(NC(=O)CN2CCOC3(C/C=C/Cc4ccccc4OCCNC3=O)C2)sc1C,-5.253
CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(O)cc2)NCCCCNC1=O,-7.17
CC(C)N1CC(=O)NCCCCCOc2ccc(CCC(=O)Nc3ccncc3)cc2C1,-4.895
COc1ccnc(C(=O)N2CCC3(CCCCc4ccccc4OCCN(C)C3)CC2)c1,-5.05
CC(C)CC1NC(=O)CC(C(=O)NCCCN(C)C)NC(=O)c2ccccc2OCCN(C)C1=O,-8.0
CCCCN1CCOc2ccccc2CCCCC2(CN(C(=O)CCc3cnn(C)c3C)CCO2)C1=O,-5.377
CC(C)C[C@H]1NCCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@H](Cc2ccc(O)cc2)NC1=O,-7.29
CC(=O)N1CCCCCCCN(C2CCOCC2)Cc2cc(C(=O)Nc3ccncc3)ccc21,-6.174
CCOc1cccc2c1OCCCCCNC(=O)CN(C(=O)Cn1nc(C)nc1C)C2,-7.155
CCN1CCOc2ccccc2CCCCC2(CN(C(=O)c3ccc(C)n(C)c3=O)CCO2)C1=O,-6.854
CCN1CCCCN(C(=O)c2cccc(Cl)c2)C2CCCCC2Oc2ccccc2C1=O,-5.21
CCC(C)C1NC(=O)CC(C(=O)NCCCN(C)C)NC(=O)c2ccccc2OCCNC1=O,-7.222
CC(C)C[C@@H]1NCCCCNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@H](Cc2ccc(OC(C)(C)C)cc2)NC1=O,-6.19
Cc1nc(/C=C/C(=O)N2CCCCOCC(O)C(O)C(O)CN(C(=O)c3ccc(F)cc3)CC2)cs1,-7.155
COCC12CCCCN(C(=O)c3ccc(OC)nc3)CCOc3ccccc3C(=O)N(CC1)CC2,-5.007
CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](Cc2ccccc2)NCCCCCCNC1=O,-4.4
Cc1csc(CCCNC(=O)C2CCC(=O)NC(C)C(=O)NC(C(C)C)C(=O)NC(C)COc3ccccc3C(=O)N2)n1,-6.959
O=C(CN1CCCCCCOc2ccccc2Oc2ncccc2C1)NCCc1ccc2c(c1)OCO2,-5.703
CN1CCCCN(C(=O)CCN2CCCC2=O)CCCCOc2ccc(Cl)cc2C(=O)N(C)C(Cc2ccccc2)C1=O,-6.854
CCC(C)C1NC(=O)CC(C(=O)N2CCc3ccccc3CC2)NC(=O)c2ccccc2OCCN(C)C1=O,-5.674
CCc1noc(CCC(=O)N2CCCCN(C)C(=O)c3cc(Cl)ccc3OCC2)n1,-5.951
CCN1CCOc2ccccc2CCCCC2(CN(C(=O)c3cn4c(C)cccc4n3)CCO2)C1=O,-5.327
CCOc1cccc2c1OCCCCCNC(=O)CN(C(=O)CCc1ccc(OC)c(OC)c1)C2,-5.602
O=C(Cc1ccc2c(c1)CN(Cc1ccccc1)CC(=O)NCCCCCO2)NCc1nnc2n1CCCCC2,-6.222
OCC12CCCCNCCOc3ccccc3CN(CC1)CC2,-7.523
CN1CCOc2ccccc2C(=O)NC(C(=O)N2CCc3ccccc3CC2)CC(=O)NCCCC1=O,-6.921
CC(C)CC1NC(=O)CC(C(=O)NCCc2ccc(F)cc2)NC(=O)c2ccccc2OCCN(C)C1=O,-5.933
CC(C)CN1CCOc2ccccc2CCCCC2(CCN(C(=O)Cn3cncn3)CC2)C1,-5.69
CCCCN1CCOc2ccccc2CCCCC2(CN(C(=O)CN(C)C(=O)OC(C)(C)C)CCO2)C1=O,-6.119
CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(O)cc2)NCCCCNC(=O)[C@H](C)NC1=O,-7.4
CN1CCC2(CCCCN(C(=O)CCC3CCCCC3)CCC(O)C(O)COC2=O)CC1,-5.955
CC(C)Cc1cc(C(=O)N2CCC(N3CCCC(C)(C)COc4ccccc4Oc4ncccc4C3)CC2)on1,-5.638
O=C1CN(Cc2ccccc2)Cc2c(cccc2C(=O)NCC(O)CO)OCCCCCN1,-8.0
CN1CCOc2ccccc2C(=O)NC(C(=O)NCC(C)(C)c2ccc(F)cc2)CCC(=O)NC(Cc2ccc(O)cc2)C1=O,-6.602
CN1CCOc2ccccc2C(=O)NC(C(=O)NCCc2cnccn2)CCC(=O)N2CCCC2C1=O,-6.699
COc1ccc(-c2cc(C(=O)N3CCOC4(CCCCc5ccccc5OCCNC4=O)C3)nn2C)cc1,-5.693
Cc1nn(C)cc1C(=O)N1CCC2(CCCCCCOc3ccccc3C(=O)NC2)CC1,-5.312
CC(C)Cc1nocc1CNC(=O)CN1CCCC(C)(C)COc2ccccc2Oc2ncccc2C1,-7.699
CC(C)C[C@H]1C(=O)NCCCCCCN[C@@H](Cc2ccccc2)C(=O)N(C)[C@H](C)C(=O)N1C,-4.6
O=C(c1cncnc1)N1CCCCC2(CCN(Cc3ccccc3)CC2)C(=O)OCC(O)C(O)CC1,-6.387
O=C(c1ccncc1)N1CCCCCCCNCc2cc(N3CCCC3)ccc21,-5.545
CC(C)CCOC1CN(C(=O)c2ccccc2F)CCN(C(=O)c2ccc(CN)cc2)CCCCOCC(O)C1O,-6.538
CN1CC2(CCN(C(=O)c3ccc(N)nc3)CC2)CC(O)C(O)Cc2ccccc2OCC1=O,-7.699
Cn1c(=O)cc(C(=O)N2CCOC3(CCCCc4ccccc4OCCNC3=O)C2)[nH]c1=O,-7.398
CCN1CCOc2ccccc2CCCCC2(CN(C(=O)c3cncnc3)CCO2)C1=O,-5.1
COc1ccc(CCCNC(=O)C2CCC(=O)NC(CC(C)C)C(=O)N(C)C(Cc3ccccc3)COc3ccccc3C(=O)N2)cc1OC,-7.523
COCC12CCCCN(C(=O)c3cnn(C)c3)CCOc3ccccc3C(=O)N(CC1)CC2,-6.377
CNC(=O)C12CCCCN(C(=O)CN3CCN(C)CC3)CCOc3ccccc3C(=O)N(CC1)CC2,-7.0
